EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 20

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(50, input_dim=self.state_size, activation='relu'))
        model.add(Dense(50, activation='relu'))
        model.add(Dense(self.action_size, activation='linear'))
        model.compile(loss='mse',
                      optimizer=Adam(lr=self.learning_rate))
        return model



/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:08:35.793404: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 0/2500, score: 64, e: 0.95, reward: -127.42257543178229
episode: 1/2500, score: 81, e: 0.95, reward: -121.03574329117924
episode: 2/2500, score: 90, e: 0.95, reward: -473.5007766674914
episode: 3/2500, score: 111, e: 0.95, reward: -346.37047928318736
episode: 4/2500, score: 94, e: 0.95, reward: -146.3747802097469
episode: 5/2500, score: 91, e: 0.95, reward: -355.7611391440054
episode: 6/2500, score: 118, e: 0.95, reward: -230.3772727075623
episode: 7/2500, score: 125, e: 0.95, reward: -325.5311888064215
episode: 8/2500, score: 82, e: 0.95, reward: -184.51612625651057
episode: 9/2500, score: 92, e: 0.94, reward: -347.1285341072535
episode: 10/2500, score: 85, e: 0.94, reward: -97.02528315703246
episode: 11/2500, score: 69, e: 0.94, reward: -250.9715507849952
episode: 12/2500, score: 80, e: 0.94, reward: -264.99388971901203
episode: 13/2500, score: 123, e: 0.94, reward: -159.98877874305896
episode: 14/2500, score: 125, e: 0.94, reward: -311.93451338155216
episode: 15/2500, score: 82, e: 0.94, reward: -143.4687532089338
episode: 16/2500, score: 89, e: 0.94, reward: -341.5570163156859
episode: 17/2500, score: 85, e: 0.94, reward: -132.33732923528652
episode: 18/2500, score: 112, e: 0.94, reward: -245.82254578065914
episode: 19/2500, score: 89, e: 0.94, reward: -307.30986787634026
episode: 20/2500, score: 67, e: 0.94, reward: -193.4281041620082
episode: 21/2500, score: 89, e: 0.94, reward: -425.80953583610585
episode: 22/2500, score: 83, e: 0.94, reward: -237.94879610667684
episode: 23/2500, score: 64, e: 0.94, reward: -177.2051685526631
episode: 24/2500, score: 58, e: 0.94, reward: -220.77075783070723
episode: 25/2500, score: 97, e: 0.93, reward: -128.9071509212501
episode: 26/2500, score: 94, e: 0.93, reward: -139.82830450384208
episode: 27/2500, score: 60, e: 0.93, reward: -111.7802060989272
episode: 28/2500, score: 101, e: 0.93, reward: -179.7903177335094
episode: 29/2500, score: 86, e: 0.93, reward: -113.25203416582293
episode: 30/2500, score: 103, e: 0.93, reward: -142.25187532350182
episode: 31/2500, score: 106, e: 0.93, reward: -271.951951106396
episode: 32/2500, score: 105, e: 0.93, reward: -238.8813255011898
episode: 33/2500, score: 96, e: 0.93, reward: -132.23363903410166
episode: 34/2500, score: 80, e: 0.93, reward: -148.1391412875648
episode: 35/2500, score: 120, e: 0.93, reward: -286.2191670147031
episode: 36/2500, score: 86, e: 0.93, reward: -485.88878532730337
episode: 37/2500, score: 95, e: 0.93, reward: -365.07378109936633
episode: 38/2500, score: 107, e: 0.93, reward: -97.71905358783255
episode: 39/2500, score: 144, e: 0.93, reward: -243.44369031685366
episode: 40/2500, score: 92, e: 0.93, reward: -165.0577415888664
episode: 41/2500, score: 91, e: 0.93, reward: -375.24798186488067
episode: 42/2500, score: 85, e: 0.92, reward: -176.8492622170292
episode: 43/2500, score: 97, e: 0.92, reward: -314.30836266120707
episode: 44/2500, score: 89, e: 0.92, reward: -209.83440488147951
episode: 45/2500, score: 97, e: 0.92, reward: -166.0200518631953
episode: 46/2500, score: 104, e: 0.92, reward: -442.3322687095702
episode: 47/2500, score: 87, e: 0.92, reward: -276.0864896533649
episode: 48/2500, score: 100, e: 0.92, reward: -418.0470999833332
episode: 49/2500, score: 139, e: 0.92, reward: -475.7944225131174
episode: 50/2500, score: 106, e: 0.92, reward: -445.80803023158967
episode: 51/2500, score: 115, e: 0.92, reward: -223.59911472248382
episode: 52/2500, score: 105, e: 0.92, reward: -131.70045262757017
episode: 53/2500, score: 96, e: 0.92, reward: -141.93456136091874
episode: 54/2500, score: 76, e: 0.92, reward: -308.2416296428041
episode: 55/2500, score: 63, e: 0.92, reward: -226.72538759846643
episode: 56/2500, score: 103, e: 0.92, reward: -158.46526253592867
episode: 57/2500, score: 87, e: 0.92, reward: -97.73079983178584
episode: 58/2500, score: 64, e: 0.92, reward: -276.6367667250986
episode: 59/2500, score: 64, e: 0.91, reward: -60.350503708058895
episode: 60/2500, score: 65, e: 0.91, reward: -185.78923045781647
episode: 61/2500, score: 108, e: 0.91, reward: -526.194611414567
episode: 62/2500, score: 97, e: 0.91, reward: -236.497188556382
episode: 63/2500, score: 201, e: 0.91, reward: -248.51368515428166
episode: 64/2500, score: 144, e: 0.91, reward: -218.58314421705433
episode: 65/2500, score: 106, e: 0.91, reward: -324.3572124496652
episode: 66/2500, score: 81, e: 0.91, reward: -135.74274844866915
episode: 67/2500, score: 90, e: 0.91, reward: -257.34946236825033
episode: 68/2500, score: 98, e: 0.91, reward: -298.5264432074939
episode: 69/2500, score: 105, e: 0.91, reward: -122.80609030908391
episode: 70/2500, score: 99, e: 0.91, reward: -167.07246290943218
episode: 71/2500, score: 90, e: 0.91, reward: -249.35053832381848
episode: 72/2500, score: 100, e: 0.91, reward: -277.01528679702756
episode: 73/2500, score: 123, e: 0.91, reward: -157.51813625385154
episode: 74/2500, score: 67, e: 0.91, reward: -262.3214125898249
episode: 75/2500, score: 96, e: 0.9, reward: -82.66999554538255
episode: 76/2500, score: 89, e: 0.9, reward: -251.15707176096927
episode: 77/2500, score: 169, e: 0.9, reward: -277.87163411049744
episode: 78/2500, score: 80, e: 0.9, reward: -157.19392782216067
episode: 79/2500, score: 116, e: 0.9, reward: -139.2787538469024
episode: 80/2500, score: 105, e: 0.9, reward: -182.85465496123413
episode: 81/2500, score: 79, e: 0.9, reward: -140.52580026057993
