EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.99
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 20

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(50, input_dim=self.state_size, activation='relu'))
        model.add(Dense(50, activation='relu'))



/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew1.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:27:15.656395: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 0/2500, score: 67, e: 0.95, reward: -108.46770291678764
episode: 1/2500, score: 123, e: 0.95, reward: -361.16106352123575
episode: 2/2500, score: 67, e: 0.95, reward: -94.10671626494984
episode: 3/2500, score: 112, e: 0.95, reward: -278.6417246080391
episode: 4/2500, score: 71, e: 0.95, reward: -114.60998772785206
episode: 5/2500, score: 79, e: 0.95, reward: -257.35961608997195
episode: 6/2500, score: 117, e: 0.95, reward: -348.44368870710866
episode: 7/2500, score: 112, e: 0.95, reward: -272.6685994356379
episode: 8/2500, score: 131, e: 0.95, reward: -223.8615271552282
episode: 9/2500, score: 64, e: 0.94, reward: -224.31784962209213
episode: 10/2500, score: 128, e: 0.94, reward: -273.22748461559513
episode: 11/2500, score: 100, e: 0.94, reward: -135.75921042338794
episode: 12/2500, score: 115, e: 0.94, reward: -141.48218018917976
episode: 13/2500, score: 119, e: 0.94, reward: -264.84284213459296
episode: 14/2500, score: 74, e: 0.94, reward: -127.59442292880635
episode: 15/2500, score: 83, e: 0.94, reward: -152.93340668559
episode: 16/2500, score: 80, e: 0.94, reward: -140.60657779037803
episode: 17/2500, score: 106, e: 0.94, reward: -254.3577769906426
episode: 18/2500, score: 71, e: 0.94, reward: -204.16906333572584
episode: 19/2500, score: 110, e: 0.94, reward: -379.49571296137793
episode: 20/2500, score: 85, e: 0.94, reward: -129.0166307150393
episode: 21/2500, score: 77, e: 0.94, reward: -136.8758100554638
episode: 22/2500, score: 83, e: 0.94, reward: -107.8332644916295
episode: 23/2500, score: 118, e: 0.94, reward: -215.74144004362503
episode: 24/2500, score: 87, e: 0.94, reward: -153.9660039578518
episode: 25/2500, score: 118, e: 0.93, reward: -367.8789803191187
episode: 26/2500, score: 67, e: 0.93, reward: -220.34760876187522
episode: 27/2500, score: 91, e: 0.93, reward: -254.27848075923794
episode: 28/2500, score: 156, e: 0.93, reward: -218.26745933691723
episode: 29/2500, score: 105, e: 0.93, reward: -447.80728402838133
episode: 30/2500, score: 108, e: 0.93, reward: -161.931875223063
episode: 31/2500, score: 112, e: 0.93, reward: -155.986535143808
episode: 32/2500, score: 129, e: 0.93, reward: -336.4594375066957
episode: 33/2500, score: 71, e: 0.93, reward: -181.87899547636698
episode: 34/2500, score: 67, e: 0.93, reward: -185.84429485652316
episode: 35/2500, score: 101, e: 0.93, reward: -214.4916252970172
episode: 36/2500, score: 79, e: 0.93, reward: -277.11971308773343
episode: 37/2500, score: 111, e: 0.93, reward: -119.70161833159281
episode: 38/2500, score: 83, e: 0.93, reward: -105.86922214439647
episode: 39/2500, score: 81, e: 0.93, reward: -135.82137369417083
episode: 40/2500, score: 117, e: 0.93, reward: -251.85788074609113
episode: 41/2500, score: 139, e: 0.93, reward: -411.58153191177837
episode: 42/2500, score: 66, e: 0.92, reward: -115.3169178982795
episode: 43/2500, score: 117, e: 0.92, reward: -385.5274969872873
episode: 44/2500, score: 102, e: 0.92, reward: -291.33592816849233
episode: 45/2500, score: 88, e: 0.92, reward: -348.10300309464355
episode: 46/2500, score: 75, e: 0.92, reward: -325.5676318183818
episode: 47/2500, score: 92, e: 0.92, reward: -151.87030665843315
episode: 48/2500, score: 77, e: 0.92, reward: -90.0760328262776
episode: 49/2500, score: 81, e: 0.92, reward: -139.85278985275494
episode: 50/2500, score: 108, e: 0.92, reward: -327.4005184066751
episode: 51/2500, score: 69, e: 0.92, reward: -173.83413035054173
episode: 52/2500, score: 92, e: 0.92, reward: -163.41263201291127
episode: 53/2500, score: 96, e: 0.92, reward: -356.65388632017783
episode: 54/2500, score: 134, e: 0.92, reward: -150.88383552286075
episode: 55/2500, score: 81, e: 0.92, reward: -18.45470683950353
episode: 56/2500, score: 89, e: 0.92, reward: -341.4865221961355
episode: 57/2500, score: 106, e: 0.92, reward: -397.1688786620236
episode: 58/2500, score: 130, e: 0.92, reward: -436.44043175596056
episode: 59/2500, score: 109, e: 0.91, reward: -308.20931836499847
episode: 60/2500, score: 129, e: 0.91, reward: -139.5854734050703
episode: 61/2500, score: 75, e: 0.91, reward: -179.48385624254797
episode: 62/2500, score: 108, e: 0.91, reward: -238.12358802608856
episode: 63/2500, score: 106, e: 0.91, reward: -13.093610443230645
episode: 64/2500, score: 67, e: 0.91, reward: -209.55475511015266
episode: 65/2500, score: 77, e: 0.91, reward: -255.3428984372003
episode: 66/2500, score: 67, e: 0.91, reward: -152.54339376870425
episode: 67/2500, score: 75, e: 0.91, reward: -194.29101197151567
episode: 68/2500, score: 84, e: 0.91, reward: -361.0883442235805
episode: 69/2500, score: 97, e: 0.91, reward: -302.79752916233474
episode: 70/2500, score: 120, e: 0.91, reward: -247.17663292185173
episode: 71/2500, score: 144, e: 0.91, reward: -408.55965358560235
episode: 72/2500, score: 140, e: 0.91, reward: -187.04905675474976
episode: 73/2500, score: 82, e: 0.91, reward: -146.97642402563122
episode: 74/2500, score: 123, e: 0.91, reward: -381.3266917586091
episode: 75/2500, score: 80, e: 0.9, reward: -177.97900129412773
episode: 76/2500, score: 80, e: 0.9, reward: -156.89654314160805
episode: 77/2500, score: 103, e: 0.9, reward: -401.4043475511172
episode: 78/2500, score: 86, e: 0.9, reward: -165.57838908540566
episode: 79/2500, score: 105, e: 0.9, reward: -168.2059575050538
episode: 80/2500, score: 86, e: 0.9, reward: -31.931487353649786
episode: 81/2500, score: 70, e: 0.9, reward: -257.35758836711557
episode: 82/2500, score: 135, e: 0.9, reward: -310.4308658547146
episode: 83/2500, score: 92, e: 0.9, reward: -386.6639068980353
episode: 84/2500, score: 77, e: 0.9, reward: -116.33862611623505
episode: 85/2500, score: 102, e: 0.9, reward: -390.4610213374676
episode: 86/2500, score: 78, e: 0.9, reward: -163.8906373223768
episode: 87/2500, score: 157, e: 0.9, reward: -158.68035715078685
episode: 88/2500, score: 137, e: 0.9, reward: -416.90994516634186
episode: 89/2500, score: 113, e: 0.9, reward: -325.60533070853995
episode: 90/2500, score: 83, e: 0.9, reward: -280.7016162719669
episode: 91/2500, score: 146, e: 0.9, reward: -123.46401555801205
episode: 92/2500, score: 92, e: 0.89, reward: -407.94107574801075
episode: 93/2500, score: 84, e: 0.89, reward: -165.96175072621844
episode: 94/2500, score: 74, e: 0.89, reward: -192.9840174646435
episode: 95/2500, score: 110, e: 0.89, reward: -177.4142875826858
episode: 96/2500, score: 70, e: 0.89, reward: -256.2845670117938
episode: 97/2500, score: 75, e: 0.89, reward: -118.14304445525514
episode: 98/2500, score: 104, e: 0.89, reward: -166.85443296175214
episode: 99/2500, score: 91, e: 0.89, reward: -181.0833801898591
episode: 100/2500, score: 140, e: 0.89, reward: -336.4314822984077
episode: 101/2500, score: 98, e: 0.89, reward: -131.08957979169307
episode: 102/2500, score: 100, e: 0.89, reward: -332.13001811604215
episode: 103/2500, score: 71, e: 0.89, reward: -122.18587369891124
episode: 104/2500, score: 116, e: 0.89, reward: -242.68820426521742
episode: 105/2500, score: 68, e: 0.89, reward: -266.63565327529477
episode: 106/2500, score: 71, e: 0.89, reward: -141.90280332856918
episode: 107/2500, score: 137, e: 0.89, reward: -223.3789489186191
episode: 108/2500, score: 184, e: 0.89, reward: -332.06997360244463
episode: 109/2500, score: 157, e: 0.88, reward: -212.66230181773588
episode: 110/2500, score: 97, e: 0.88, reward: -216.05155655308494
episode: 111/2500, score: 98, e: 0.88, reward: -222.40543689212964
episode: 112/2500, score: 82, e: 0.88, reward: -135.5081486881877
episode: 113/2500, score: 117, e: 0.88, reward: -190.809081873092
episode: 114/2500, score: 113, e: 0.88, reward: -272.7808278243192
episode: 115/2500, score: 98, e: 0.88, reward: -251.00114272205045
episode: 116/2500, score: 78, e: 0.88, reward: -171.19054637042547
episode: 117/2500, score: 104, e: 0.88, reward: -301.524443912846
episode: 118/2500, score: 75, e: 0.88, reward: -154.29939073148648
episode: 119/2500, score: 100, e: 0.88, reward: -229.00835971969815
episode: 120/2500, score: 153, e: 0.88, reward: -231.0031110611663
episode: 121/2500, score: 85, e: 0.88, reward: -294.48635066496075
episode: 122/2500, score: 86, e: 0.88, reward: -134.03358499652242
episode: 123/2500, score: 81, e: 0.88, reward: -158.08512860558653
episode: 124/2500, score: 157, e: 0.88, reward: -4.103860588071285
episode: 125/2500, score: 93, e: 0.87, reward: -277.53591919981034
episode: 126/2500, score: 101, e: 0.87, reward: -380.754212128329
episode: 127/2500, score: 96, e: 0.87, reward: -175.38469076067645
episode: 128/2500, score: 126, e: 0.87, reward: -252.94697236774604
episode: 129/2500, score: 111, e: 0.87, reward: -194.5877048386967
episode: 130/2500, score: 89, e: 0.87, reward: -138.1070701465892
episode: 131/2500, score: 67, e: 0.87, reward: -301.138675727743
episode: 132/2500, score: 133, e: 0.87, reward: -222.86315415403396
episode: 133/2500, score: 125, e: 0.87, reward: -143.54220174655882
episode: 134/2500, score: 107, e: 0.87, reward: -160.48631357914994
episode: 135/2500, score: 113, e: 0.87, reward: -211.4862198081929
episode: 136/2500, score: 69, e: 0.87, reward: -159.29117712053204
episode: 137/2500, score: 90, e: 0.87, reward: -105.55922960408877
episode: 138/2500, score: 158, e: 0.87, reward: -385.6748212821449
episode: 139/2500, score: 147, e: 0.87, reward: -187.20100992618887
episode: 140/2500, score: 78, e: 0.87, reward: -77.1924988598436
episode: 141/2500, score: 124, e: 0.87, reward: -191.78432606389794
episode: 142/2500, score: 97, e: 0.86, reward: -64.28208545323905
episode: 143/2500, score: 113, e: 0.86, reward: -124.65048897356058
episode: 144/2500, score: 181, e: 0.86, reward: -181.08582135915145
episode: 145/2500, score: 151, e: 0.86, reward: -417.3233296865887
episode: 146/2500, score: 77, e: 0.86, reward: -171.84718211996864
episode: 147/2500, score: 66, e: 0.86, reward: -123.22406655880624
episode: 148/2500, score: 136, e: 0.86, reward: -73.06645046913867
episode: 149/2500, score: 78, e: 0.86, reward: -121.63759256628452
episode: 150/2500, score: 94, e: 0.86, reward: -261.06497476354707
episode: 151/2500, score: 67, e: 0.86, reward: -103.72548007439764
episode: 152/2500, score: 105, e: 0.86, reward: -200.2300730307074
episode: 153/2500, score: 104, e: 0.86, reward: -157.7629006809442
episode: 154/2500, score: 106, e: 0.86, reward: -104.87564925282021
episode: 155/2500, score: 67, e: 0.86, reward: -78.2863632667967
episode: 156/2500, score: 76, e: 0.86, reward: -261.42781097325474
episode: 157/2500, score: 72, e: 0.86, reward: -99.02875383490282
