EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 40

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(50, input_dim=self.state_size, activation='relu'))
        model.add(Dense(50, activation='relu'))

/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew2.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:29:36.953438: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 0/2500, score: 74, e: 0.95, reward: -138.52767152100014
episode: 1/2500, score: 79, e: 0.95, reward: -135.24322157895602
episode: 2/2500, score: 99, e: 0.95, reward: -254.78680229113573
episode: 3/2500, score: 76, e: 0.95, reward: -97.55459081083265
episode: 4/2500, score: 86, e: 0.95, reward: -296.3554963411683
episode: 5/2500, score: 166, e: 0.95, reward: -405.57542289684915
episode: 6/2500, score: 110, e: 0.95, reward: -323.46511389666875
episode: 7/2500, score: 82, e: 0.95, reward: -144.61393841154018
episode: 8/2500, score: 111, e: 0.95, reward: -255.31178806617947
episode: 9/2500, score: 102, e: 0.94, reward: -438.5889577965397
episode: 10/2500, score: 97, e: 0.94, reward: -333.38252569536644
episode: 11/2500, score: 92, e: 0.94, reward: -405.49954512964825
episode: 12/2500, score: 125, e: 0.94, reward: -401.19548371228785
episode: 13/2500, score: 77, e: 0.94, reward: -142.48802092117236
episode: 14/2500, score: 95, e: 0.94, reward: -123.89619132186013
episode: 15/2500, score: 90, e: 0.94, reward: -252.10276673422078
episode: 16/2500, score: 103, e: 0.94, reward: -295.65704862197566
episode: 17/2500, score: 103, e: 0.94, reward: -335.33660278822026
episode: 18/2500, score: 72, e: 0.94, reward: -121.50822564658087
episode: 19/2500, score: 71, e: 0.94, reward: -154.15844238072634
episode: 20/2500, score: 97, e: 0.94, reward: -483.5805262196027
episode: 21/2500, score: 104, e: 0.94, reward: -207.11140273011262
episode: 22/2500, score: 68, e: 0.94, reward: -90.24779336121259
episode: 23/2500, score: 64, e: 0.94, reward: -146.37500517714895
episode: 24/2500, score: 113, e: 0.94, reward: -191.7350828998776
episode: 25/2500, score: 134, e: 0.93, reward: -189.5604580595999
episode: 26/2500, score: 126, e: 0.93, reward: -32.97986845616305
