EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 20

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(25, input_dim=self.state_size, activation='relu'))
        model.add(Dense(25, activation='relu'))


/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew3.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:33:43.199452: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 0/2500, score: 114, e: 0.95, reward: -358.25703642583517
episode: 1/2500, score: 107, e: 0.95, reward: -48.965562266797306
episode: 2/2500, score: 124, e: 0.95, reward: -304.51775752827814
episode: 3/2500, score: 89, e: 0.95, reward: -182.93430671782795
episode: 4/2500, score: 97, e: 0.95, reward: -216.18270510522876
episode: 5/2500, score: 66, e: 0.95, reward: -115.12802376122818
episode: 6/2500, score: 60, e: 0.95, reward: -89.67261450644531
episode: 7/2500, score: 80, e: 0.95, reward: -142.84439400604333
episode: 8/2500, score: 102, e: 0.95, reward: -210.15728472627222
episode: 9/2500, score: 76, e: 0.94, reward: -257.79707016091305
episode: 10/2500, score: 74, e: 0.94, reward: -140.91622221992262
episode: 11/2500, score: 76, e: 0.94, reward: -228.75154425018755
episode: 12/2500, score: 99, e: 0.94, reward: -363.7967310409529
episode: 13/2500, score: 81, e: 0.94, reward: -258.22673730927966
episode: 14/2500, score: 128, e: 0.94, reward: -307.8705091327271
episode: 15/2500, score: 117, e: 0.94, reward: -13.581093011466194
episode: 16/2500, score: 75, e: 0.94, reward: -138.24975869991096
episode: 17/2500, score: 109, e: 0.94, reward: -232.91292808727522
episode: 18/2500, score: 126, e: 0.94, reward: -226.16906295725295
episode: 19/2500, score: 73, e: 0.94, reward: -284.8477217553567
episode: 20/2500, score: 78, e: 0.94, reward: -174.3070235371961
episode: 21/2500, score: 89, e: 0.94, reward: -200.90107384349906
episode: 22/2500, score: 79, e: 0.94, reward: -147.05044886375612
episode: 23/2500, score: 76, e: 0.94, reward: -111.88354029057467
episode: 24/2500, score: 65, e: 0.94, reward: -228.1512189598705
episode: 25/2500, score: 91, e: 0.93, reward: -258.3397131693108
episode: 26/2500, score: 97, e: 0.93, reward: -175.4518048792016
episode: 27/2500, score: 130, e: 0.93, reward: -348.41880736375686
episode: 28/2500, score: 80, e: 0.93, reward: -203.80707489786792
episode: 29/2500, score: 67, e: 0.93, reward: -183.63124154306502
episode: 30/2500, score: 85, e: 0.93, reward: -456.21630281103774
episode: 31/2500, score: 72, e: 0.93, reward: -134.3508134250926
episode: 32/2500, score: 82, e: 0.93, reward: -116.00147595698644
episode: 33/2500, score: 81, e: 0.93, reward: -209.10075806386152
episode: 34/2500, score: 84, e: 0.93, reward: -475.7957569033161
episode: 35/2500, score: 91, e: 0.93, reward: -384.9632084531475
episode: 36/2500, score: 75, e: 0.93, reward: -211.45776823091683
episode: 37/2500, score: 66, e: 0.93, reward: -161.81148214932557
episode: 38/2500, score: 78, e: 0.93, reward: -241.93625934291023
episode: 39/2500, score: 84, e: 0.93, reward: -151.4044546165573
episode: 40/2500, score: 64, e: 0.93, reward: -106.48632726121151
episode: 41/2500, score: 101, e: 0.93, reward: -156.4706101784288
episode: 42/2500, score: 71, e: 0.92, reward: -137.0064953735803
episode: 43/2500, score: 56, e: 0.92, reward: -131.2734833188344
episode: 44/2500, score: 86, e: 0.92, reward: -186.2436344511687
episode: 45/2500, score: 84, e: 0.92, reward: -431.3222496404141
episode: 46/2500, score: 79, e: 0.92, reward: -184.7663858743437
episode: 47/2500, score: 92, e: 0.92, reward: -197.4538245890392
episode: 48/2500, score: 88, e: 0.92, reward: -179.2826160658513
episode: 49/2500, score: 73, e: 0.92, reward: -138.91936892166444
episode: 50/2500, score: 78, e: 0.92, reward: -221.0537846347591
episode: 51/2500, score: 90, e: 0.92, reward: -306.7992510814802
episode: 52/2500, score: 123, e: 0.92, reward: -244.47624314336352
episode: 53/2500, score: 101, e: 0.92, reward: -497.1286479507766
episode: 54/2500, score: 89, e: 0.92, reward: -324.8427353209944
episode: 55/2500, score: 118, e: 0.92, reward: -249.86540569845778
episode: 56/2500, score: 90, e: 0.92, reward: -177.95433435865195
episode: 57/2500, score: 77, e: 0.92, reward: -130.6142825489937
episode: 58/2500, score: 75, e: 0.92, reward: -235.47638582594502
episode: 59/2500, score: 112, e: 0.91, reward: -264.67783687843826
episode: 60/2500, score: 67, e: 0.91, reward: -183.67819301662655
episode: 61/2500, score: 68, e: 0.91, reward: -146.40725176717655
episode: 62/2500, score: 75, e: 0.91, reward: -120.44245481417559
episode: 63/2500, score: 118, e: 0.91, reward: -174.24477806286015
episode: 64/2500, score: 104, e: 0.91, reward: -259.49502011055006
episode: 65/2500, score: 93, e: 0.91, reward: -368.49637179904886
episode: 66/2500, score: 122, e: 0.91, reward: -501.43317148854976
episode: 67/2500, score: 77, e: 0.91, reward: -141.7804318272042
episode: 68/2500, score: 114, e: 0.91, reward: -172.8671096631916
episode: 69/2500, score: 86, e: 0.91, reward: -558.861160108589
episode: 70/2500, score: 104, e: 0.91, reward: -410.26960659793235
episode: 71/2500, score: 82, e: 0.91, reward: -226.5374231664938
episode: 72/2500, score: 161, e: 0.91, reward: -302.13110283222557
episode: 73/2500, score: 100, e: 0.91, reward: -325.19962461243813
episode: 74/2500, score: 141, e: 0.91, reward: -173.35341588136185
episode: 75/2500, score: 95, e: 0.9, reward: -370.3275168076582
episode: 76/2500, score: 94, e: 0.9, reward: -165.82301027305132
episode: 77/2500, score: 102, e: 0.9, reward: -168.62426025621815
episode: 78/2500, score: 93, e: 0.9, reward: -255.19801294060875
episode: 79/2500, score: 109, e: 0.9, reward: -366.92412208721146
episode: 80/2500, score: 99, e: 0.9, reward: -125.38715348054996
episode: 81/2500, score: 108, e: 0.9, reward: -302.783307896614
episode: 82/2500, score: 109, e: 0.9, reward: -231.50929564979393
episode: 83/2500, score: 85, e: 0.9, reward: -89.22455805681636
episode: 84/2500, score: 84, e: 0.9, reward: -170.67551718429254
episode: 85/2500, score: 183, e: 0.9, reward: -394.6947992133546
episode: 86/2500, score: 65, e: 0.9, reward: -142.99025702243318
episode: 87/2500, score: 115, e: 0.9, reward: -126.40551485967309
episode: 88/2500, score: 82, e: 0.9, reward: -367.80129159915657
