2018-07-02 19:21:34.030343: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:898] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-07-02 19:21:34.030746: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:00:1e.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2018-07-02 19:21:34.030777: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1435] Adding visible gpu devices: 0
2018-07-02 19:21:34.297552: I tensorflow/core/common_runtime/gpu/gpu_device.cc:923] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-07-02 19:21:34.297603: I tensorflow/core/common_runtime/gpu/gpu_device.cc:929]      0 
2018-07-02 19:21:34.297616: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 0:   N 
2018-07-02 19:21:34.297921: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10763 MB memory) -> physical GPU (device: 0, name: Tesla K80, pci bus id: 0000:00:1e.0, compute capability: 3.7)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
episode: 0/2500, score: 80, e: 0.95, reward: -170.80563969759135, runningAvg: -1000
episode: 1/2500, score: 58, e: 0.95, reward: -152.82991594819586, runningAvg: -1000
episode: 2/2500, score: 113, e: 0.95, reward: -231.9561943536371, runningAvg: -1000
episode: 3/2500, score: 103, e: 0.95, reward: -357.6202674773882, runningAvg: -1000
episode: 4/2500, score: 82, e: 0.95, reward: -484.7552118784849, runningAvg: -1000
episode: 5/2500, score: 148, e: 0.95, reward: -348.0453203769745, runningAvg: -1000
episode: 6/2500, score: 139, e: 0.95, reward: -109.94793610233373, runningAvg: -1000
episode: 7/2500, score: 88, e: 0.95, reward: -406.77117917339166, runningAvg: -1000
episode: 8/2500, score: 70, e: 0.95, reward: -126.48987972197516, runningAvg: -1000
episode: 9/2500, score: 83, e: 0.94, reward: -153.33404937077987, runningAvg: -1000
episode: 10/2500, score: 74, e: 0.94, reward: -172.6440474359236, runningAvg: -1000
episode: 11/2500, score: 92, e: 0.94, reward: -366.736960136526, runningAvg: -1000
episode: 12/2500, score: 115, e: 0.94, reward: -127.96839358415662, runningAvg: -1000
episode: 13/2500, score: 90, e: 0.94, reward: -239.17534387810585, runningAvg: -1000
episode: 14/2500, score: 87, e: 0.94, reward: -361.65938036464564, runningAvg: -1000
episode: 15/2500, score: 66, e: 0.94, reward: -124.78402821033609, runningAvg: -1000
episode: 16/2500, score: 66, e: 0.94, reward: -103.72344486652229, runningAvg: -1000
episode: 17/2500, score: 78, e: 0.94, reward: -196.4196015351123, runningAvg: -1000
episode: 18/2500, score: 114, e: 0.94, reward: -221.82880236426567, runningAvg: -1000
episode: 19/2500, score: 107, e: 0.94, reward: -33.51403306288327, runningAvg: -1000
episode: 20/2500, score: 89, e: 0.94, reward: -344.0313219423307, runningAvg: -1000
episode: 21/2500, score: 82, e: 0.94, reward: -323.7789001714019, runningAvg: -1000
episode: 22/2500, score: 79, e: 0.94, reward: -82.1693132074173, runningAvg: -1000
episode: 23/2500, score: 110, e: 0.94, reward: -161.12079510089274, runningAvg: -1000
episode: 24/2500, score: 102, e: 0.94, reward: -347.1369214091432, runningAvg: -1000
episode: 25/2500, score: 95, e: 0.93, reward: -92.19533538705869, runningAvg: -1000
episode: 26/2500, score: 75, e: 0.93, reward: -189.79165125603697, runningAvg: -1000
episode: 27/2500, score: 140, e: 0.93, reward: -144.9370614854343, runningAvg: -1000
episode: 28/2500, score: 120, e: 0.93, reward: -156.38031616746127, runningAvg: -1000
episode: 29/2500, score: 127, e: 0.93, reward: -307.1009870602792, runningAvg: -1000
episode: 30/2500, score: 123, e: 0.93, reward: -453.97453978048475, runningAvg: -1000
episode: 31/2500, score: 103, e: 0.93, reward: -230.932961483969, runningAvg: -1000
episode: 32/2500, score: 71, e: 0.93, reward: -292.29925555225384, runningAvg: -1000
episode: 33/2500, score: 79, e: 0.93, reward: -226.56808779368254, runningAvg: -1000
episode: 34/2500, score: 104, e: 0.93, reward: -222.35708934078903, runningAvg: -1000
episode: 35/2500, score: 71, e: 0.93, reward: -167.6652671994021, runningAvg: -1000
episode: 36/2500, score: 121, e: 0.93, reward: -156.96828265535183, runningAvg: -1000
episode: 37/2500, score: 72, e: 0.93, reward: -161.5830782478288, runningAvg: -1000
episode: 38/2500, score: 114, e: 0.93, reward: -306.2403512069482, runningAvg: -1000
episode: 39/2500, score: 81, e: 0.93, reward: -149.13972730617166, runningAvg: -1000
episode: 40/2500, score: 77, e: 0.93, reward: -145.18010092148486, runningAvg: -1000
episode: 41/2500, score: 125, e: 0.93, reward: -122.22491273327189, runningAvg: -1000
episode: 42/2500, score: 79, e: 0.92, reward: -116.18613154807971, runningAvg: -1000
episode: 43/2500, score: 102, e: 0.92, reward: -169.05793829273148, runningAvg: -1000
episode: 44/2500, score: 86, e: 0.92, reward: -217.56498378657037, runningAvg: -1000
episode: 45/2500, score: 99, e: 0.92, reward: -221.09135785702563, runningAvg: -1000
episode: 46/2500, score: 63, e: 0.92, reward: -153.9502640639999, runningAvg: -1000
episode: 47/2500, score: 99, e: 0.92, reward: -169.98943083303996, runningAvg: -1000
episode: 48/2500, score: 136, e: 0.92, reward: -361.0481038117263, runningAvg: -1000
episode: 49/2500, score: 96, e: 0.92, reward: -203.73782297524954, runningAvg: -1000
episode: 50/2500, score: 69, e: 0.92, reward: -142.79135928446306, runningAvg: -1000
episode: 51/2500, score: 115, e: 0.92, reward: -219.14901375530843, runningAvg: -1000
episode: 52/2500, score: 80, e: 0.92, reward: -162.46777142946596, runningAvg: -1000
episode: 53/2500, score: 74, e: 0.92, reward: -121.32777109299434, runningAvg: -1000
episode: 54/2500, score: 110, e: 0.92, reward: -297.9218023050074, runningAvg: -1000
episode: 55/2500, score: 74, e: 0.92, reward: -144.53281703195336, runningAvg: -1000
episode: 56/2500, score: 121, e: 0.92, reward: -239.52658496944923, runningAvg: -1000
episode: 57/2500, score: 89, e: 0.92, reward: -272.3903966610959, runningAvg: -1000
episode: 58/2500, score: 116, e: 0.92, reward: -411.49866428491333, runningAvg: -1000
episode: 59/2500, score: 88, e: 0.91, reward: -239.39766573039128, runningAvg: -1000
episode: 60/2500, score: 101, e: 0.91, reward: -145.38468198416896, runningAvg: -1000
episode: 61/2500, score: 92, e: 0.91, reward: -169.3116462363551, runningAvg: -1000
episode: 62/2500, score: 141, e: 0.91, reward: -221.88681610129024, runningAvg: -1000
episode: 63/2500, score: 95, e: 0.91, reward: -192.48574021886918, runningAvg: -1000
episode: 64/2500, score: 69, e: 0.91, reward: -187.1185925007392, runningAvg: -1000
episode: 65/2500, score: 103, e: 0.91, reward: -111.75467445778803, runningAvg: -1000
episode: 66/2500, score: 131, e: 0.91, reward: -246.0313784001261, runningAvg: -1000
episode: 67/2500, score: 127, e: 0.91, reward: -258.88937379518967, runningAvg: -1000
episode: 68/2500, score: 158, e: 0.91, reward: -339.6888500087784, runningAvg: -1000
episode: 69/2500, score: 135, e: 0.91, reward: -292.5995917518202, runningAvg: -1000
episode: 70/2500, score: 120, e: 0.91, reward: -298.74892978007483, runningAvg: -1000
episode: 71/2500, score: 68, e: 0.91, reward: -112.73300258197146, runningAvg: -1000
episode: 72/2500, score: 161, e: 0.91, reward: -333.9707185753332, runningAvg: -1000
episode: 73/2500, score: 110, e: 0.91, reward: -90.72633160395094, runningAvg: -1000
episode: 74/2500, score: 77, e: 0.91, reward: -249.55977109538608, runningAvg: -1000
episode: 75/2500, score: 131, e: 0.9, reward: -146.67135151863, runningAvg: -1000
episode: 76/2500, score: 90, e: 0.9, reward: -198.24983577967686, runningAvg: -1000
episode: 77/2500, score: 99, e: 0.9, reward: -154.25598936344085, runningAvg: -1000
episode: 78/2500, score: 124, e: 0.9, reward: -174.04146004661214, runningAvg: -1000
episode: 79/2500, score: 71, e: 0.9, reward: -94.8300471379592, runningAvg: -1000
episode: 80/2500, score: 110, e: 0.9, reward: -163.66410270056957, runningAvg: -1000
episode: 81/2500, score: 95, e: 0.9, reward: -191.1199664483812, runningAvg: -1000
episode: 82/2500, score: 80, e: 0.9, reward: -181.42516878320248, runningAvg: -1000
episode: 83/2500, score: 85, e: 0.9, reward: -141.24225307617348, runningAvg: -1000
episode: 84/2500, score: 73, e: 0.9, reward: -268.31168333523476, runningAvg: -1000
episode: 85/2500, score: 150, e: 0.9, reward: -191.88199565233796, runningAvg: -1000
episode: 86/2500, score: 96, e: 0.9, reward: -204.3352074070723, runningAvg: -1000
episode: 87/2500, score: 83, e: 0.9, reward: -155.8892489274187, runningAvg: -1000
episode: 88/2500, score: 70, e: 0.9, reward: -146.54881583144646, runningAvg: -1000
episode: 89/2500, score: 114, e: 0.9, reward: -266.2246241699639, runningAvg: -1000
